hastag_H	cluster_C_leader	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
Vegan                                 1060440219097423872  0.39009  0.23529  .60317427894435819919  16    68     29529  48956
Vancouver                             832019161454817280   0.30490  0.18391  .60317427894435819919  16    87     29529  48956
Ukraina                               870244616003403781   1.10527  0.66667  .60317427894435819919  16    24     29529  48956
UCUstrikes                            77726331             1.56038  0.94118  .60317427894435819919  16    17     29529  48956
txlege                                1155192156           1.65790  1.00000  .60317427894435819919  16    16     29529  48956
TruthSocial                           41186732             1.02024  0.61538  .60317427894435819919  16    26     29529  48956
TrumpCrimeFamily                      1921951394           0.64698  0.39024  .60317427894435819919  16    41     29529  48956
Toronto                               302984766            0.19649  0.11852  .60317427894435819919  16    135    29529  48956
StopPutinsWar                         870244616003403781   1.65790  1.00000  .60317427894435819919  16    16     29529  48956
SmartNews                             124385387            0.88421  0.53333  .60317427894435819919  16    30     29529  48956
russia                                870244616003403781   0.09611  0.05797  .60317427894435819919  16    276    29529  48956
Ramadan                               41186732             0.58948  0.35556  .60317427894435819919  16    45     29529  48956
QandA                                 2574271742           1.06105  0.64000  .60317427894435819919  16    25     29529  48956
OhmFlukexHugmag                       177400353            1.47369  0.88889  .60317427894435819919  16    18     29529  48956
NoFlyZone                             578601744            0.68017  0.41026  .60317427894435819919  16    39     29529  48956
maskmandate                           86010091             1.15332  0.69565  .60317427894435819919  16    23     29529  48956
Kramatorsk                            870244616003403781   1.20574  0.72727  .60317427894435819919  16    22     29529  48956
IStandWithTrudeau                     302984766            0.88421  0.53333  .60317427894435819919  16    30     29529  48956
HolocaustRemembranceDay               1308267623327518725  0.82895  0.50000  .60317427894435819919  16    32     29529  48956
Holocaust                             1308267623327518725  0.15695  0.09467  .60317427894435819919  16    169    29529  48956
Grammys                               950215424981028864   1.47369  0.88889  .60317427894435819919  16    18     29529  48956
GOP                                   41186732             0.03845  0.02319  .60317427894435819919  16    690    29529  48956
Europe                                45379403             0.06837  0.04124  .60317427894435819919  16    388    29529  48956
Devon                                 2332033299           0.82895  0.50000  .60317427894435819919  16    32     29529  48956
climate                               832019161454817280   0.09972  0.06015  .60317427894435819919  16    266    29529  48956
CATS                                  1060440219097423872  1.65790  1.00000  .60317427894435819919  16    16     29529  48956
cats                                  1060440219097423872  0.46537  0.28070  .60317427894435819919  16    57     29529  48956
C4News                                2800413166           1.56038  0.94118  .60317427894435819919  16    17     29529  48956
BetoForGovernor                       1155192156           1.65790  1.00000  .60317427894435819919  16    16     29529  48956
AmirLocke                             614600545            0.98245  0.59259  .60317427894435819919  16    27     29529  48956
ADOPT                                 1060440219097423872  0.41447  0.25000  .60317427894435819919  16    64     29529  48956
abhealth                              118166719            0.88421  0.53333  .60317427894435819919  16    30     29529  48956
22ValentineOhmFluke                   177400353            1.65790  1.00000  .60317427894435819919  16    16     29529  48956
ห้อง609Q11                             177400353            1.65790  1.00000  .60317427894435819919  15    15     29529  48956
ค้ามนุษย์                                1264114113925402624  1.65790  1.00000  .60317427894435819919  15    15     29529  48956
