hastag_H	cluster_C_leader	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
genocide                              578601744            0.12877  0.07767  .60317427894435819919  8     103    29529  48956
gapol                                 936620120255934466   1.65790  1.00000  .60317427894435819919  8     8      29529  48956
food                                  711608180535640064   0.03614  0.02180  .60317427894435819919  8     367    29529  48956
FckPutin                              967871677399994368   1.32632  0.80000  .60317427894435819919  8     10     29529  48956
FBR                                   17531651             1.32632  0.80000  .60317427894435819919  8     10     29529  48956
Facebook                              45379403             0.18948  0.11429  .60317427894435819919  8     70     29529  48956
EmergenciesAct                        302984766            0.63158  0.38095  .60317427894435819919  8     21     29529  48956
Dover                                 711608180535640064   0.42784  0.25806  .60317427894435819919  8     31     29529  48956
Dog                                   17531651             0.10962  0.06612  .60317427894435819919  8     121    29529  48956
DemocratsDeliver                      950215424981028864   1.65790  1.00000  .60317427894435819919  8     8      29529  48956
Democrats                             1155192156           0.08187  0.04938  .60317427894435819919  8     162    29529  48956
Delta                                 804582780298412032   0.13003  0.07843  .60317427894435819919  8     102    29529  48956
DeathSantis                           981436419087523840   0.78019  0.47059  .60317427894435819919  8     17     29529  48956
ColoradoFire                          2530758806           1.65790  1.00000  .60317427894435819919  8     8      29529  48956
ClimateChange                         302984766            0.82895  0.50000  .60317427894435819919  8     16     29529  48956
Chornobyl                             578601744            0.82895  0.50000  .60317427894435819919  8     16     29529  48956
CALICO                                1060440219097423872  1.65790  1.00000  .60317427894435819919  8     8      29529  48956
Budget2022                            1031000589054828544  1.32632  0.80000  .60317427894435819919  8     10     29529  48956
Borodyanka                            870244616003403781   0.49123  0.29630  .60317427894435819919  8     27     29529  48956
BC                                    804582780298412032   0.00776  0.00468  .60317427894435819919  8     1711   29529  48956
bbcnews                               828578052942741505   1.10527  0.66667  .60317427894435819919  8     12     29529  48956
BA4                                   1028022611324747776  1.65790  1.00000  .60317427894435819919  8     8      29529  48956
Azov                                  45379403             0.23685  0.14286  .60317427894435819919  8     56     29529  48956
Animals                               17531651             0.40191  0.24242  .60317427894435819919  8     33     29529  48956
America                               45379403             0.01364  0.00823  .60317427894435819919  8     972    29529  48956
afternoonbriefing                     2574271742           1.65790  1.00000  .60317427894435819919  8     8      29529  48956
AfterLife3                            29447428             1.20574  0.72727  .60317427894435819919  8     11     29529  48956
AfterLife                             29447428             0.69806  0.42105  .60317427894435819919  8     19     29529  48956
ห้อง609Q2                              177400353            1.65790  1.00000  .60317427894435819919  7     7      29529  48956
เสียงที่ไม่ได้ยินจากม็อบชาวนา                1264114113925402624  1.65790  1.00000  .60317427894435819919  7     7      29529  48956
รัสเซีย                                 1264114113925402624  0.96710  0.58333  .60317427894435819919  7     12     29529  48956
มุขเสี่ยวเกี้ยวณธัช                         177400353            1.65790  1.00000  .60317427894435819919  7     7      29529  48956
